# anchorsX, anchorsY
4.637862193046251377e+03,9.410204326144508741e+03
4.639927858436178212e+03,9.332369270759751089e+03
4.642962262697948972e+03,9.226094183799197708e+03
4.651511046871471081e+03,9.303913017621958716e+03
4.651751539157790830e+03,9.309312016104961003e+03
4.652822268607835213e+03,9.328308646375347962e+03
4.654304626865594400e+03,9.343562295354426169e+03
4.661684632133287778e+03,9.494523597670002346e+03
4.671903843441993558e+03,9.640900253175388571e+03
4.684199597169538720e+03,9.530896494723387150e+03
4.690946321027761769e+03,9.495131317120547465e+03
4.698964310620707693e+03,9.296822361341324722e+03
4.707537696521979342e+03,9.393598664580589684e+03
4.712392149327867628e+03,9.709760310255631339e+03
4.717841689098891948e+03,9.753377720709204368e+03
4.721415222263114629e+03,9.801812088393444355e+03
4.722864297150385028e+03,9.838525706082524266e+03
4.726394339440559634e+03,9.813578250203145217e+03
4.733778123593132477e+03,9.437452740456315951e+03
4.740865074173459107e+03,9.523114541811497475e+03
4.744645953228432518e+03,9.569760492721457922e+03
4.747645906270076011e+03,9.596721236262992534e+03
4.748627833009993083e+03,9.607227007685030912e+03
4.751455965933752850e+03,9.581286386116495123e+03
4.758275753082414667e+03,9.713444124180770814e+03
4.760609413110872993e+03,9.795377154009425794e+03
4.761681375096669399e+03,9.811825176605369052e+03
4.768595366999862563e+03,9.844960929921136994e+03
4.770066877530048259e+03,9.900318513722755597e+03
4.775344183782606706e+03,1.006825282496595537e+04
4.785708796648413227e+03,1.012754361097050605e+04
4.791283075246840781e+03,1.029004153500424036e+04
4.795655994334468232e+03,1.050722081722242729e+04
4.798384093007256524e+03,1.057509281960483895e+04
4.800064925871856758e+03,1.063429536030078634e+04
4.804894590701245761e+03,1.063217997401880530e+04
4.807643980911315339e+03,1.052797450449024109e+04
4.813853926119854805e+03,1.049847632841339509e+04
4.821181365641416050e+03,1.062095907330030786e+04
4.821695990540673847e+03,1.059926640618207603e+04
4.827239729414436624e+03,1.049646733863492773e+04
4.831331212297041930e+03,1.047819831067633459e+04
4.836514971766038798e+03,1.052245842994873601e+04
4.847036603402233595e+03,1.046123868970199328e+04
4.851808336798010714e+03,1.043137599811615110e+04
4.868448993676116515e+03,1.086019400251059596e+04
4.870942292651007847e+03,1.095530199381543025e+04
4.875038295321627629e+03,1.104026121341578437e+04
4.880553827976733373e+03,1.122021719273350209e+04
4.881840054878765841e+03,1.127877812979211922e+04
4.884380941637535216e+03,1.130547975468270852e+04
4.896451893264600585e+03,1.109987262871290841e+04
4.900381372046711476e+03,1.126986905839628162e+04
4.902637548661701658e+03,1.142912586724729226e+04
4.906727470919544430e+03,1.150672510553619577e+04
4.913417747585009238e+03,1.148792023501261974e+04
4.915868488152453210e+03,1.141679521197165559e+04
4.930129930632739161e+03,1.121715914830033216e+04
4.945166707866940669e+03,1.179401863117972061e+04
4.948961950465924019e+03,1.182466285115849314e+04
4.952049794399650636e+03,1.190004655825549889e+04
4.962897258946355578e+03,1.180034801663652615e+04
4.964826159168953382e+03,1.177501176606696390e+04
4.975933967829796529e+03,1.188780476799102507e+04
4.978598555844702787e+03,1.199856559979603480e+04
4.981862751375269909e+03,1.198621819691835844e+04
4.987823554467613576e+03,1.217132843910321208e+04
4.993816475101307333e+03,1.231242790639779923e+04
4.994307880734150785e+03,1.231869378562497513e+04
4.999816596289972040e+03,1.229915735443183439e+04
5.011838474948795010e+03,1.191677095142021972e+04
5.012298216596079328e+03,1.192138189981676078e+04
